STACJA,DATA,POMIAR,WARTOSC
14,2019-05-14 18:00:00,PM10,12.6336
16,2019-05-14 19:00:00,PM10,15.3764
9153,2019-05-14 19:00:00,PM10,9.50278
9153,2019-05-14 19:00:00,PM2.5,8.18194
38,2019-05-14 18:00:00,PM10,14.9598
52,2019-05-14 18:00:00,PM10,19.8359
70,2019-05-14 18:00:00,PM10,13.92
109,2019-05-14 18:00:00,PM10,19.2561
129,2019-05-14 18:00:00,PM2.5,12.5607
117,2019-05-14 18:00:00,PM10,14.0647
132,2019-05-14 18:00:00,PM10,5.84464
156,2019-05-14 19:00:00,PM10,16.5
156,2019-05-14 19:00:00,PM2.5,5.9
143,2019-05-14 19:00:00,PM10,5.43398
206,2019-05-14 19:00:00,PM10,7.6
206,2019-05-14 19:00:00,PM2.5,11.9
208,2019-05-14 19:00:00,PM10,12.8
145,2019-05-14 19:00:00,PM10,11.25
225,2019-05-14 19:00:00,PM10,11.6
225,2019-05-14 19:00:00,PM2.5,7.3
266,2019-05-14 19:00:00,PM10,27.2
266,2019-05-14 19:00:00,PM2.5,19.9
285,2019-05-14 20:00:00,PM10,22.2
291,2019-05-14 19:00:00,PM10,14.0
295,2019-05-14 19:00:00,PM10,11.0
295,2019-05-14 19:00:00,PM2.5,8.0
296,2019-05-14 19:00:00,PM10,19.2
296,2019-05-14 19:00:00,PM2.5,12.0
314,2019-05-14 19:00:00,PM10,12.0
322,2019-05-14 19:00:00,PM10,12.0
331,2019-05-14 19:00:00,PM10,43.0
355,2019-05-14 19:00:00,PM10,17.0
355,2019-05-14 19:00:00,PM2.5,12.0
361,2019-05-14 19:00:00,PM10,17.4262
376,2019-05-14 19:00:00,PM10,19.5599
379,2019-05-14 20:00:00,PM10,18.1394
379,2019-05-14 20:00:00,PM2.5,12.0031
382,2019-05-14 19:00:00,PM10,15.1013
382,2019-05-14 19:00:00,PM2.5,4.53787
387,2019-05-14 19:00:00,PM2.5,7.58052
387,2019-05-14 19:00:00,PM10,8.70753
400,2019-05-14 20:00:00,PM10,19.2223
400,2019-05-14 20:00:00,PM2.5,13.7863
401,2019-05-14 19:00:00,PM10,7.94566
401,2019-05-14 19:00:00,PM2.5,6.60528
402,2019-05-14 19:00:00,PM10,7.76417
402,2019-05-14 19:00:00,PM2.5,5.61321
426,2019-05-14 19:00:00,PM10,27.8835
437,2019-05-14 19:00:00,PM10,13.8302
444,2019-05-14 19:00:00,PM10,11.3983
449,2019-05-14 19:00:00,PM10,6.04938
459,2019-05-14 19:00:00,PM10,16.9038
471,2019-05-14 19:00:00,PM10,7.47
471,2019-05-14 19:00:00,PM2.5,9.34
485,2019-05-14 19:00:00,PM10,14.87
485,2019-05-14 19:00:00,PM2.5,13.94
488,2019-05-14 19:00:00,PM10,15.33
488,2019-05-14 19:00:00,PM2.5,15.68
501,2019-05-14 19:00:00,PM10,10.19
501,2019-05-14 19:00:00,PM2.5,6.85
515,2019-05-14 19:00:00,PM10,11.71
515,2019-05-14 19:00:00,PM2.5,10.09
517,2019-05-14 19:00:00,PM10,28.16
517,2019-05-14 19:00:00,PM2.5,23.08
530,2019-05-14 19:00:00,PM10,13.55
530,2019-05-14 19:00:00,PM2.5,11.74
552,2019-05-14 19:00:00,PM10,7.83
552,2019-05-14 19:00:00,PM2.5,7.5
538,2019-05-14 18:00:00,PM10,8.6
538,2019-05-14 18:00:00,PM2.5,7.96
550,2019-05-14 19:00:00,PM10,13.1
550,2019-05-14 19:00:00,PM2.5,9.9
562,2019-05-14 19:00:00,PM10,8.29
562,2019-05-14 19:00:00,PM2.5,7.02
568,2019-05-14 20:00:00,PM10,15.6072
568,2019-05-14 20:00:00,PM2.5,13.3214
584,2019-05-14 20:00:00,PM10,10.5262
600,2019-05-14 20:00:00,PM10,8.96718
609,2019-05-14 20:00:00,PM10,16.5
605,2019-05-14 20:00:00,PM2.5,6.0
612,2019-05-14 20:00:00,PM10,12.9
612,2019-05-14 20:00:00,PM2.5,11.1
618,2019-05-14 20:00:00,PM10,21.9
9173,2019-05-14 20:00:00,PM10,29.1885
9173,2019-05-14 20:00:00,PM2.5,27.9918
631,2019-05-14 20:00:00,PM10,21.2446
631,2019-05-14 20:00:00,PM2.5,20.1745
638,2019-05-14 19:00:00,PM10,7.615
659,2019-05-14 19:00:00,PM10,17.0356
665,2019-05-14 20:00:00,PM10,24.2381
665,2019-05-14 20:00:00,PM2.5,22.5034
671,2019-05-14 19:00:00,PM10,10.5496
769,2019-05-14 20:00:00,PM10,8.87
778,2019-05-14 19:00:00,PM2.5,8.51
861,2019-05-14 20:00:00,PM10,11.0638
861,2019-05-14 20:00:00,PM2.5,7.22029
870,2019-05-14 20:00:00,PM10,20.7856
877,2019-05-14 20:00:00,PM10,9.19056
877,2019-05-14 20:00:00,PM2.5,7.45694
920,2019-05-14 19:00:00,PM10,19.459
966,2019-05-14 19:00:00,PM10,5.99911
986,2019-05-14 19:00:00,PM10,14.469
986,2019-05-14 19:00:00,PM2.5,2.51125
